symbol,high,high_date,close,tolerance,updated
AAPL,124.80750274658205,2020-08-29,108.7699966430664,15,2020-11-05
ABBV,94.05999755859376,2020-08-27,80.66999816894531,15,2020-11-05
AMD,83.80000305175781,2020-09-01,74.69999694824219,15,2020-11-05
AMZN,3400.0,2020-09-03,3004.47998046875,15,2020-11-05
APLLTD.NS,964.5999755859375,2020-11-05,964.5999755859375,15,2020-11-05
ASTEC.NS,1167.75,2020-09-20,1065.8499755859375,15,2020-11-05
AUROPHARMA.NS,818.6500244140625,2020-10-08,760.9000244140625,15,2020-11-05
BABA,306.8699951171875,2020-10-30,285.57000732421875,10,2020-11-05
BANDHANBNK.NS,341.3500061035156,2020-08-27,289.45001220703125,20,2020-11-05
BHARATRAS.NS,10026.7001953125,2020-08-27,8546.150390625,15,2020-11-05
BHEL.NS,39.20000076293945,2020-08-28,27.200000762939453,15,2020-11-05
BMY,62.27999877929688,2020-08-29,57.91999816894531,15,2020-11-05
BSOFT.NS,194.5500030517578,2020-10-05,174.5,15,2020-11-05
BTC-USD,13437.8828125,2020-11-05,13437.8828125,15,2020-11-05
CDSL.NS,482.5499877929688,2020-10-05,461.1499938964844,15,2020-11-05
COROMANDEL.NS,790.4000244140625,2020-09-20,712.3499755859375,15,2020-11-05
CUMMINSIND.NS,500.0,2020-08-27,434.1000061035156,15,2020-11-05
DAAWAT.NS,55.25,2020-09-01,49.0,15,2020-11-05
DHANUKA.NS,766.0999755859375,2020-09-24,714.1500244140625,15,2020-11-05
DIS,131.99000549316406,2020-09-10,120.12999725341797,10,2020-11-05
EA,141.2100067138672,2020-08-27,119.80999755859375,10,2020-11-05
FB,293.20001220703125,2020-09-03,261.3599853515625,10,2020-11-05
GRANULES.NS,381.20001220703125,2020-10-28,369.70001220703125,15,2020-11-05
HDFCBANK.NS,1210.9000244140625,2020-10-28,1183.550048828125,15,2020-11-05
HEROMOTOCO.NS,3279.14990234375,2020-10-15,2799.800048828125,15,2020-11-05
HINDPETRO.NS,228.1999969482422,2020-08-27,179.60000610351562,15,2020-11-05
HINDZINC.NS,231.5500030517578,2020-08-27,202.9499969482422,15,2020-11-05
INDUSINDBK.NS,625.0999755859375,2020-09-04,585.7000122070312,15,2020-11-05
INFY.NS,1093.699951171875,2020-10-15,1060.5999755859375,10,2020-11-05
IRCTC.NS,1368.5999755859375,2020-08-27,1300.550048828125,15,2020-11-05
ITC.NS,196.3999938964844,2020-08-27,163.85000610351562,15,2020-11-05
KOTAKGOLD.NS,487.0499877929688,2020-08-27,449.54998779296875,15,2020-11-05
LAURUSLABS.NS,1345.5999755859375,2020-09-23,277.20001220703125,15,2020-11-05
LUV,39.84000015258789,2020-10-28,38.400001525878906,15,2020-11-05
MASTEK.NS,872.8499755859375,2020-10-13,803.7999877929688,15,2020-11-05
MELI,1281.43994140625,2020-10-28,1214.050048828125,10,2020-11-05
MSFT,225.52999877929688,2020-09-03,202.3300018310547,10,2020-11-05
MU,51.959999084472656,2020-10-28,49.709999084472656,15,2020-11-05
N100.NS,860.3099975585938,2020-09-03,817.3400268554688,15,2020-11-05
NAUKRI.NS,3575.550048828125,2020-10-05,3548.949951171875,15,2020-11-05
NET,54.75,2020-10-28,51.970001220703125,15,2020-11-05
NIFTYBEES.NS,125.80999755859376,2020-10-28,124.37000274658203,15,2020-11-05
NUCLEUS.NS,673.7999877929688,2020-10-08,528.75,15,2020-11-05
PETRONET.NS,254.3000030517578,2020-08-27,224.85000610351562,15,2020-11-05
QCOM,125.91000366210938,2020-10-28,123.36000061035156,10,2020-11-05
QUESS.NS,410.8999938964844,2020-09-20,403.04998779296875,10,2020-11-05
RELIANCE.NS,2298.75,2020-09-20,1850.4000244140625,10,2020-11-05
SYNCOMF.BO,1.7899999618530271,2020-08-29,1.409999966621399,15,2020-11-05
SYNGENE.NS,557.0999755859375,2020-09-30,528.9500122070312,15,2020-11-05
TRVG,1.8400000333786009,2020-09-01,1.25,15,2020-11-05
TSLA,442.67999267578125,2020-09-03,388.0400085449219,15,2020-11-05
TSN,63.45000076293945,2020-08-29,56.4900016784668,15,2020-11-05
UPL.NS,528.5,2020-09-23,401.3500061035156,15,2020-11-05
VAIBHAVGBL.NS,1884.4000244140625,2020-10-28,1863.0,15,2020-11-05
VBL.NS,754.25,2020-08-29,653.9000244140625,15,2020-11-05
VEDL.NS,136.89999389648438,2020-10-05,92.0,10,2020-11-05
YESBANK.NS,14.649999618530273,2020-08-27,12.25,15,2020-11-05
